nome,lat,lon
A.P.M. 14,-10.292543,-48.315458
A.P.M. 14,-10.29335,-48.315119
A.P.M. 15,-10.292305,-48.315558
A.P.M. 15,-10.292543,-48.315458
A.P.M. 15,-10.292568,-48.315625
A.P.M. 15,-10.292543,-48.315458
AL. A-1,-10.333204,-48.278358
AL. A-1,-10.332786,-48.277332
AL. A-2,-10.333852,-48.278196
AL. A-2,-10.333396,-48.277078
AL. PAPEETE,-10.139213,-48.351461
AL. PAPEETE,-10.139951,-48.351518
AL. PAPEETE,-10.138804,-48.351456
AL. PAPEETE,-10.138235,-48.351486
AL. PAPEETE,-10.139213,-48.351461
AL. PAPEETE,-10.138804,-48.351456
ALAMEDA 10,-10.168594,-48.313198
ALAMEDA 10,-10.172024,-48.31317
ALAMEDA BORA BORA,-10.142238,-48.360633
ALAMEDA BORA BORA,-10.13878,-48.360895
ALAMEDA HAVAI,-10.143334,-48.35852
ALAMEDA HAVAI,-10.13863,-48.358876
ALAMEDA HONOLULU,-10.141535,-48.351312
ALAMEDA HONOLULU,-10.141658,-48.353615
ALAMEDA HONOLULU,-10.143356,-48.358851
ALAMEDA ILHAS DE PÁSCOA,-10.143891,-48.355487
ALAMEDA ILHAS DE PÁSCOA,-10.143894,-48.35449
ALAMEDA ILHAS DE PÁSCOA,-10.143894,-48.35449
ALAMEDA ILHAS MARQUESAS,-10.143497,-48.357511
ALAMEDA ILHAS MARQUESAS,-10.138556,-48.357885
ALAMEDA ILHAS MARQUESAS,-10.143694,-48.356499
ALAMEDA ILHAS MARQUESAS,-10.138483,-48.356894
ALAMEDA MAUÍ,-10.139466,-48.35148
ALAMEDA MAUÍ,-10.139639,-48.353816
ALAMEDA MOOREA,-10.142189,-48.359603
ALAMEDA MOOREA,-10.138704,-48.359867
ALAMEDA MOOREA,-10.142149,-48.354623
ALAMEDA MOOREA,-10.142189,-48.359603
ALAMEDA PAPEETE,-10.139951,-48.351518
ALAMEDA PAPEETE,-10.141535,-48.351312
ALAMEDA SAMOA,-10.14051,-48.352753
ALAMEDA SAMOA,-10.140584,-48.353744
ALAMEDA SAMOA,-10.141495,-48.352679
ALAMEDA SAMOA,-10.14051,-48.352753
ALAMEDA TONGA,-10.139566,-48.352825
ALAMEDA TONGA,-10.138513,-48.352905
ALAMEDA TUAMOTO,-10.141514,-48.353674
ALAMEDA TUAMOTO,-10.138252,-48.353839
ALAMEDA TUAMOTO,-10.138374,-48.353633
ALAMEDA TUAMOTO,-10.141514,-48.353674
AV NS 01 COM AV JK,-10.184602,-48.337446
AV NS 01 COM AV JK,-10.185008,-48.337026
AV NS 01 COM AV JK,-10.185003,-48.3371
AV NS 01 COM AV JK,-10.185001,-48.336958
AV NS 01 COM AV JK,-10.184642,-48.336622
AV NS 01 COM AV JK,-10.184309,-48.336742
AV NS 01 COM AV JK,-10.18419,-48.337033
AV NS 01 COM AV JK,-10.184197,-48.337108
AV NS 01 COM AV JK,-10.18419,-48.337033
AV NS 01 COM AV LO 01,-10.188853,-48.336918
AV NS 01 COM AV LO 01,-10.188737,-48.336699
AV NS 01 COM AV LO 01,-10.188444,-48.336581
AV NS 01 COM AV LO 01,-10.188527,-48.337399
AV NS 01 COM AV LO 01,-10.188451,-48.337406
AV NS 01 COM AV LO 01,-10.188451,-48.337406
AV NS 01 COM AV LO 01,-10.188384,-48.337401
AV NS 01 COM AV LO 01,-10.188444,-48.336581
AV NS 01 COM AV LO 01,-10.188135,-48.33673
AV NS 01 COM AV LO 01,-10.188042,-48.337002
AV NS 01 COM AV LO 02,-10.180822,-48.337479
AV NS 01 COM AV LO 02,-10.180753,-48.337485
AV NS 01 COM AV LO 02,-10.181155,-48.337058
AV NS 01 COM AV LO 02,-10.180807,-48.336664
AV NS 01 COM AV LO 02,-10.181155,-48.337058
AV NS 01 COM AV LO 02,-10.180667,-48.336668
AV NS 01 COM AV LO 02,-10.180344,-48.337006
AV NS 01 COM AV LO 02,-10.180679,-48.33748
AV NS 01 COM AV LO 02,-10.180436,-48.337341
AV NS 01 COM AV LO 02,-10.180339,-48.337065
AV NS 01 COM AV LO 03,-10.192436,-48.336899
AV NS 01 COM AV LO 03,-10.192299,-48.336645
AV NS 01 COM AV LO 03,-10.192022,-48.336544
AV NS 01 COM AV LO 03,-10.192096,-48.337364
AV NS 01 COM AV LO 03,-10.192029,-48.337369
AV NS 01 COM AV LO 03,-10.19195,-48.336552
AV NS 01 COM AV LO 03,-10.191627,-48.33689
AV NS 01 COM AV LO 03,-10.191956,-48.337363
AV NS 01 COM AV LO 03,-10.191733,-48.33724
AV NS 01 COM AV LO 03,-10.191622,-48.336972
AV NS 01 COM AV LO 04,-10.177575,-48.337087
AV NS 01 COM AV LO 04,-10.177433,-48.336796
AV NS 01 COM AV LO 04,-10.177169,-48.336698
AV NS 01 COM AV LO 04,-10.177233,-48.337517
AV NS 01 COM AV LO 04,-10.177176,-48.337522
AV NS 01 COM AV LO 04,-10.177087,-48.336705
AV NS 01 COM AV LO 04,-10.176767,-48.337026
AV NS 01 COM AV LO 04,-10.177093,-48.337516
AV NS 01 COM AV LO 04,-10.176888,-48.337412
AV NS 01 COM AV LO 04,-10.176762,-48.337167
AV NS 01 COM AV LO 05,-10.198176,-48.336853
AV NS 01 COM AV LO 05,-10.198035,-48.336609
AV NS 01 COM AV LO 05,-10.197768,-48.336514
AV NS 01 COM AV LO 05,-10.197847,-48.337333
AV NS 01 COM AV LO 05,-10.197775,-48.337339
AV NS 01 COM AV LO 05,-10.1977,-48.33652
AV NS 01 COM AV LO 05,-10.19737,-48.336859
AV NS 01 COM AV LO 05,-10.197706,-48.337334
AV NS 01 COM AV LO 05,-10.197512,-48.337244
AV NS 01 COM AV LO 05,-10.197364,-48.336925
AV NS 01 COM AV LO 06,-10.174404,-48.337113
AV NS 01 COM AV LO 06,-10.174234,-48.336783
AV NS 01 COM AV LO 06,-10.173592,-48.337051
AV NS 01 COM AV LO 06,-10.174399,-48.337186
AV NS 01 COM AV LO 06,-10.174316,-48.337375
AV NS 01 COM AV LO 06,-10.174146,-48.337503
AV NS 01 COM AV LO 06,-10.173593,-48.337193
